iter	Logloss
378	0.4381596286
379	0.4380983848
380	0.4380571743
381	0.4379850225
382	0.4379659
383	0.4378943522
384	0.4378454256
385	0.4377987791
386	0.4377502373
387	0.4377245567
388	0.4376828077
389	0.4376666694
390	0.4376119923
391	0.4375677557
392	0.4375526913
393	0.437511295
394	0.4374641666
395	0.4374127354
396	0.4373469322
397	0.437303431
398	0.4372302151
399	0.4371660121
400	0.4371132291
401	0.4370558519
402	0.4370548788
403	0.4370062603
404	0.4369810573
405	0.4369202439
406	0.436895859
407	0.4368554392
408	0.4368005414
409	0.4367541287
410	0.4367413853
411	0.4366832176
412	0.436658384
413	0.4366374462
414	0.4365953996
415	0.4365202164
416	0.436456167
417	0.4364341254
418	0.4364330234
419	0.436369941
420	0.436367672
421	0.4363667103
422	0.4363644545
423	0.4363287098
424	0.4362626514
425	0.4362131189
426	0.4361661461
427	0.4360942259
428	0.4360342159
429	0.4359701848
430	0.4359341863
431	0.435932387
432	0.4358901046
433	0.4358292922
434	0.4357927529
435	0.4357570457
